Timestamp;4 Byte float RTT Data
34900;0.547027
35000;0.548071
35100;0.548950
35200;0.549997
35300;0.550871
35400;0.551921
35500;0.552791
35600;0.553749
35700;0.554802
35800;0.555665
35900;0.556623
36000;0.557579
36100;0.558535
36200;0.559491
36300;0.560550
36400;0.561400
36500;0.562354
36600;0.563307
36700;0.564259
36800;0.565324
36900;0.566276
37000;0.567113
37100;0.568063
37200;0.569131
37300;0.570081
37400;0.570908
37500;0.571855
37600;0.572802
37700;0.573748
37800;0.574692
37900;0.575767
38000;0.576580
38100;0.577523
38200;0.578465
38300;0.579406
38400;0.580347
38500;0.581286
38600;0.582225
38700;0.583307
38800;0.584100
38900;0.585183
39000;0.586120
39100;0.587057
39200;0.587841
39300;0.588927
39400;0.589860
39500;0.590793
39600;0.591725
39700;0.592656
39800;0.593586
39900;0.594515
40000;0.595443
40100;0.596205
40200;0.597129
40300;0.598223
40400;0.598976
40500;0.599898
40600;0.600819
40700;0.601914
40800;0.602658
40900;0.603575
41000;0.604672
41100;0.605408
41200;0.606506
41300;0.607237
41400;0.608149
41500;0.609061
41600;0.609971
41700;0.610880
41800;0.611789
41900;0.612890
42000;0.613602
42100;0.614507
42200;0.615411
42300;0.616314
42400;0.617215
42500;0.618319
42600;0.619015
42700;0.620120
42800;0.620810
42900;0.621705
43000;0.622600
43100;0.623493
43200;0.624385
43300;0.625492
43400;0.626383
43500;0.627054
43600;0.628161
43700;0.629049
43800;0.629712
43900;0.630595
44000;0.631703
44100;0.632585
44200;0.633237
44300;0.634346
44400;0.634991
44500;0.635867
44600;0.636741
44700;0.637851
44800;0.638485
44900;0.639355
45000;0.640465
45100;0.641334
45200;0.642202
45300;0.642821
45400;0.643684
45500;0.644546
45600;0.645406
45700;0.646265
45800;0.647122
45900;0.647977
46000;0.648832
46100;0.649428
46200;0.650537
46300;0.651647
46400;0.652235
46500;0.653346
46600;0.653927
46700;0.654771
46800;0.655142
46900;0.655421
47000;0.655967
47100;0.655974
47200;0.656518
47300;0.656521
47400;0.657063
47500;0.657333
47600;0.657330
47700;0.657869
47800;0.658134
47900;0.658126
48000;0.658387
48100;0.658921
48200;0.658907
48300;0.659164
48400;0.659419
48500;0.659674
48600;0.659926
48700;0.660177
48800;0.660426
48900;0.660674
49000;0.660920
49100;0.661165
49200;0.661686
49300;0.661649
49400;0.661889
49500;0.662407
49600;0.662644
49700;0.662599
49800;0.662832
49900;0.663345
50000;0.663294
50100;0.663522
50200;0.664032
50300;0.663975
50400;0.664198
50500;0.664421
50600;0.664641
50700;0.664860
50800;0.665362
50900;0.665293
51000;0.665507
51100;0.666005
51200;0.665930
51300;0.666425
51400;0.666346
51500;0.666552
51600;0.667043
51700;0.666958
51800;0.667159
51900;0.667358
52000;0.667556
52100;0.667752
52200;0.667657
52300;0.668139
52400;0.668329
52500;0.668519
52600;0.668706
52700;0.668892
52800;0.669368
52900;0.669259
53000;0.669440
53100;0.669619
53200;0.669797
53300;0.669973
53400;0.670147
53500;0.670319
53600;0.670490
53700;0.670953
53800;0.670827
53900;0.670992
54000;0.671157
54100;0.671319
54200;0.671480
54300;0.671935
